shortests paths:
 1-2: 2;
 1-4-3: 8;
 1-4: 1;
 1-5: 4;
 1-4-6: 2;
 1-7: 6;
 1-8: 7;
 2-1: 2;
 2-1-4-3: 10;
 2-1-4: 3;
 2-1-5: 6;
 2-1-4-6: 4;
 2-7: 8;
 2-1-8: 9;
 3-4-1: 8;
 3-4-1-2: 10;
 3-4: 7;
 3-5: 10;
 3-4-6: 8;
 3-4-1-7: 14;
 3-4-1-8: 15;
 4-1: 1;
 4-1-2: 3;
 4-3: 7;
 4-1-5: 5;
 4-6: 1;
 4-1-7: 7;
 4-1-8: 8;
 5-1: 4;
 5-1-2: 6;
 5-3: 10;
 5-1-4: 5;
 5-6: 5;
 5-1-7: 10;
 5-1-8: 11;
 6-4-1: 2;
 6-4-1-2: 4;
 6-4-3: 8;
 6-4: 1;
 6-5: 5;
 6-4-1-7: 8;
 6-4-1-8: 9;
 7-1: 6;
 7-2: 8;
 7-1-4-3: 14;
 7-1-4: 7;
 7-1-5: 10;
 7-1-4-6: 8;
 7-1-8: 13;
 8-1: 7;
 8-1-2: 9;
 8-1-4-3: 15;
 8-1-4: 8;
 8-1-5: 11;
 8-1-4-6: 9;
 8-1-7: 13;
